top - 06:48:50 up 2 days, 21:40,  3 users,  load average: 0.25, 0.42, 0.38
Tasks: 234 total,   1 running, 228 sleeping,   3 stopped,   2 zombie
%Cpu(s):  1.7 us,  0.7 sy,  0.0 ni, 95.9 id,  1.6 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem:   3924064 total,  2702380 used,  1221684 free,   150068 buffers
KiB Swap:  3983356 total,      360 used,  3982996 free.  1300100 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 3131 goldbeef  20   0  125836  15360  12228 S   0.0  0.4   0:00.53 notify-osd
 3157 goldbeef  20   0  347884  69024  21748 S   0.0  1.8   9:55.98 compiz
 3167 goldbeef  20   0  133608  28928   4812 S   0.0  0.7   0:00.21 evolution-calen
 3173 goldbeef  20   0  251704  32120  19972 S   0.0  0.8   0:26.12 nautilus
 3177 goldbeef  20   0   54008   8116   6116 S   0.0  0.2   0:00.20 unity-fallback-
 3178 goldbeef  20   0  208912  16232  12064 S   0.0  0.4   0:47.23 nm-applet
 3179 goldbeef  20   0   44888   8168   6168 S   0.0  0.2   0:00.20 polkit-gnome-au
 3195 goldbeef  20   0   11404   3048   1928 S   0.0  0.1   0:00.48 gconfd-2
 3200 goldbeef  20   0   49608   4452   3452 S   0.0  0.1   0:01.76 gvfs-udisks2-vo
 3207 root      20   0   53552   4700   3352 S   0.0  0.1   0:36.58 udisksd
 3227 goldbeef  20   0   29992   2916   2376 S   0.0  0.1   0:00.01 gvfs-gphoto2-vo
 3231 goldbeef  20   0   40948   2784   2336 S   0.0  0.1   0:00.00 gvfs-afc-volume
 3236 goldbeef  20   0   28748   4780   2312 S   0.0  0.1   0:00.01 gvfs-mtp-volume
 3256 goldbeef  20   0   59976  17008   6240 S   0.0  0.4   0:00.26 fcitx
 3273 goldbeef  20   0    4236   1360   1072 S   0.0  0.0   0:00.00 dbus-daemon
 3277 goldbeef  39  19    2692    564    452 S   0.0  0.0   0:00.00 fcitx-dbus-watc
 3282 goldbeef  20   0   38556   6712   2224 S   0.0  0.2   0:00.00 gvfsd-burn
 3290 goldbeef  20   0   48896   7708   2920 S   0.0  0.2   0:00.05 gvfsd-trash
 3314 goldbeef  20   0   19656   2664   2192 S   0.0  0.1   0:00.72 gvfsd-metadata
 3320 goldbeef  20   0   85256   9656   7424 S   0.0  0.2   0:00.11 telepathy-indic
 3326 goldbeef  20   0   43924  10048   4828 S   0.0  0.3   0:17.53 mission-control
 3332 goldbeef  20   0  156328  22236  12256 S   0.0  0.6   1:14.30 gnome-terminal
 3340 goldbeef  20   0    2416    728    604 S   0.0  0.0   0:00.00 gnome-pty-helpe
 3341 goldbeef  20   0   10540   5112   1760 S   0.0  0.1   0:02.98 bash
 3360 goldbeef  20   0   95244  13988   4520 S   0.0  0.4   0:06.88 zeitgeist-datah
 3365 goldbeef  20   0   45748   4312   3384 S   0.0  0.1   0:00.24 zeitgeist-daemo
 3372 goldbeef  20   0   68716  12212   5204 S   0.0  0.3   0:07.28 zeitgeist-fts
 3393 goldbeef  20   0    5668    284    228 S   0.0  0.0   0:00.00 cat
 3397 goldbeef  20   0 1610376   5912   3968 S   0.0  0.2   0:00.09 explorer.exe
 3409 goldbeef  20   0  148260   8292   2668 S   0.0  0.2  12:22.58 TVGuiSlave.32
 3410 goldbeef  20   0   85208  14372   7336 S   0.0  0.4   9:15.50 TVGuiDelegate
 3613 goldbeef  20   0   71000  17124   9560 S   0.0  0.4   0:01.63 update-notifier
 3709 goldbeef  20   0   50072   3324   2744 S   0.0  0.1   0:00.09 deja-dup-monito
 4013 root      20   0       0      0      0 S   0.0  0.0   3:47.53 kworker/1:0
 4121 goldbeef  20   0  293032 105816  35672 S   0.0  2.7   3:44.01 evince
 4128 goldbeef  20   0   15148   2216   1940 S   0.0  0.1   0:00.01 evinced
 4532 www-data  20   0   31060   3740    488 S   0.0  0.1   0:00.00 apache2
 4534 www-data  20   0  108120   5592   1228 S   0.0  0.1   0:00.10 apache2
 4535 www-data  20   0  108120   5592   1228 S   0.0  0.1   0:00.11 apache2
 4536 www-data  20   0  108120   5592   1228 S   0.0  0.1   0:00.10 apache2
 4537 www-data  20   0  108120   5592   1228 S   0.0  0.1   0:00.11 apache2
 4538 www-data  20   0  108120   5592   1228 S   0.0  0.1   0:00.10 apache2
 6434 goldbeef  20   0    6116    812    712 T   0.0  0.0   0:00.00 grep
 6435 goldbeef  20   0    9788   3252    316 T   0.0  0.1   0:00.00 bash
 6436 goldbeef  20   0    9788   3252    316 T   0.0  0.1   0:00.00 bash
 6437 goldbeef  20   0       0      0      0 Z   0.0  0.0   0:00.13 command-not-fou
 6438 goldbeef  20   0       0      0      0 Z   0.0  0.0   0:00.13 command-not-fou
 7826 goldbeef  20   0  107188  15904   6024 S   0.0  0.4   0:00.45 unity-scope-hom
 7839 goldbeef  20   0  122548  20620   6320 S   0.0  0.5   0:09.17 unity-scope-loa
 7841 goldbeef  20   0  122656   6936   5612 S   0.0  0.2   0:01.08 unity-files-dae
 8869 root      20   0       0      0      0 S   0.0  0.0   0:09.89 kworker/u16:1
16901 root      20   0    3316    928    532 S   0.0  0.0   0:00.02 mount.ntfs
17060 goldbeef  20   0  194404  23396  15400 S   0.0  0.6   0:10.52 gedit
17929 root       0 -20       0      0      0 S   0.0  0.0   0:00.07 kworker/u17:2
18171 root       0 -20       0      0      0 S   0.0  0.0   0:00.03 kworker/u17:0
18608 root      20   0       0      0      0 S   0.0  0.0   0:00.68 kworker/0:0
18677 goldbeef  20   0  773380 136204  73520 S   0.0  3.5   0:15.17 chromium-browse
18700 goldbeef  20   0  229352  31984  25268 S   0.0  0.8   0:00.19 chromium-browse
18704 goldbeef  20   0  238572   8368   1624 S   0.0  0.2   0:00.00 chromium-browse
18806 goldbeef  20   0  549580 149292  60368 S   0.0  3.8   1:11.71 chromium-browse
18849 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/1:2
18887 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u16:2
18941 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/3:2
18976 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/0:1
18983 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/2:0
18999 goldbeef  20   0    9620   4256   1536 S   0.0  0.1   0:00.07 bash
19083 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u16:0
19727 root      20   0       0      0      0 S   0.0  0.0   3:04.89 kworker/0:2
21009 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/2:1
26387 root      20   0    8280   3256   2356 S   0.0  0.1   0:00.12 cupsd
26391 lp        20   0    6940   1792   1400 S   0.0  0.0   0:00.00 dbus

top - 06:48:53 up 2 days, 21:40,  3 users,  load average: 0.23, 0.42, 0.37
Tasks: 234 total,   2 running, 227 sleeping,   3 stopped,   2 zombie
%Cpu(s):  1.9 us,  0.7 sy,  0.1 ni, 80.4 id, 16.9 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:   3924064 total,  2703868 used,  1220196 free,   150068 buffers
KiB Swap:  3983356 total,      360 used,  3982996 free.  1300572 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 3173 goldbeef  20   0  251704  32120  19972 S   2.3  0.8   0:26.19 nautilus
 2843 goldbeef  20   0  141076  32440  12120 S   1.7  0.8   0:04.47 hud-service
18826 goldbeef  20   0  282528  30452  12036 S   1.3  0.8   0:06.80 chromium-browse
 1076 root      20   0  171392   7936   4376 S   1.0  0.2  36:45.55 teamviewerd
18677 goldbeef  20   0  773380 136204  73520 S   1.0  3.5   0:15.20 chromium-browse
 1157 nobody    20   0   79164   2324   1316 S   0.7  0.1  10:57.28 gmetad
 1571 root      20   0  211540  73912  63248 S   0.7  1.9  14:08.76 Xorg
 2865 goldbeef  20   0  152004  24972  11332 S   0.7  0.6   5:13.54 unity-panel-ser
 3157 goldbeef  20   0  347884  69024  21748 S   0.7  1.8   9:56.00 compiz
    7 root      20   0       0      0      0 S   0.3  0.0  10:00.53 rcu_sched
   64 root      20   0       0      0      0 S   0.3  0.0   3:32.70 kworker/2:2
 1138 mysql     20   0  321604  38688   2484 S   0.3  1.0   5:30.93 mysqld
 1154 ganglia   20   0   21764   7108   2680 S   0.3  0.2   9:20.66 gmond
 1426 jenkins   20   0 1310456 278320   8404 S   0.3  7.1   8:40.71 java
 2825 goldbeef  20   0    6360    596    432 S   0.3  0.0   0:05.76 upstart-dbus-br
 2958 goldbeef  20   0    5860   2024    704 S   0.3  0.1   5:16.25 wineserver
 4013 root      20   0       0      0      0 R   0.3  0.0   3:47.54 kworker/1:0
 8869 root      20   0       0      0      0 D   0.3  0.0   0:09.90 kworker/u16:1
18806 goldbeef  20   0  549580 149292  60368 S   0.3  3.8   1:11.72 chromium-browse
19137 goldbeef  20   0    6852   1372    984 R   0.3  0.0   0:00.03 top
    1 root      20   0    4600   2580   1364 S   0.0  0.1   0:02.23 init
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.02 kthreadd
    3 root      20   0       0      0      0 S   0.0  0.0   1:18.14 ksoftirqd/0
    5 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0:0H
    8 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_bh
    9 root      rt   0       0      0      0 S   0.0  0.0   0:00.45 migration/0
   10 root      rt   0       0      0      0 S   0.0  0.0   0:02.30 watchdog/0
   11 root      rt   0       0      0      0 S   0.0  0.0   0:02.52 watchdog/1
   12 root      rt   0       0      0      0 S   0.0  0.0   0:05.06 migration/1
   13 root      20   0       0      0      0 S   0.0  0.0   0:45.56 ksoftirqd/1
   15 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1:0H
   16 root      rt   0       0      0      0 S   0.0  0.0   0:02.05 watchdog/2
   17 root      rt   0       0      0      0 S   0.0  0.0   0:00.30 migration/2
   18 root      20   0       0      0      0 S   0.0  0.0   1:38.91 ksoftirqd/2
   20 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/2:0H
   21 root      rt   0       0      0      0 S   0.0  0.0   0:02.29 watchdog/3
   22 root      rt   0       0      0      0 S   0.0  0.0   0:00.57 migration/3
   23 root      20   0       0      0      0 S   0.0  0.0   0:53.40 ksoftirqd/3
   25 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/3:0H
   26 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 khelper
   27 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
   28 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 netns
   29 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 writeback
   30 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kintegrityd
   31 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   33 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kblockd
   34 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ata_sff
   35 root      20   0       0      0      0 S   0.0  0.0   0:00.01 khubd
   36 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 md
   37 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 devfreq_wq
   41 root      20   0       0      0      0 S   0.0  0.0   0:00.30 khungtaskd
   42 root      20   0       0      0      0 S   0.0  0.0   0:00.61 kswapd0
   43 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
   44 root      39  19       0      0      0 S   0.0  0.0   0:03.50 khugepaged
   45 root      20   0       0      0      0 S   0.0  0.0   0:00.00 fsnotify_mark
   46 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ecryptfs-kthrea
   47 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 crypto
   59 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kthrotld
   63 root      20   0       0      0      0 S   0.0  0.0   2:08.66 kworker/3:1
   83 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 deferwq
   84 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 charger_manager
  135 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kpsmoused
  136 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_0
  137 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_1
  138 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_2
  139 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_3
  140 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_4
  141 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_5
  158 root      20   0       0      0      0 D   0.0  0.0   0:24.08 jbd2/sda7-8
  159 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ext4-rsv-conver
